epoch,timestamp_utc,learning_rate,train_total,train_bce,train_dice,train_cldice,train_n_batches,val_total,val_bce,val_dice,val_cldice,val_n_batches
1,2026-05-19T20:34:50+00:00,0.0001,0.20017678638140615,0.012105839954802213,0.18807094641767752,0.0,313,0.30181931853294375,0.0316451046615839,0.2701742172241211,0.0,5
2,2026-05-19T20:35:50+00:00,0.0001,0.1710690692924082,0.011057765928272623,0.1600113033105771,0.0,313,0.30353894233703616,0.03418864533305168,0.2693503022193909,0.0,5
3,2026-05-19T20:36:50+00:00,0.0001,0.13204086475526564,0.009210752945143385,0.1228301119499694,0.0,313,0.30873953104019164,0.03667823150753975,0.27206130027770997,0.0,5
4,2026-05-19T20:37:50+00:00,0.0001,0.11928193449688415,0.008975906052831977,0.11030602816956493,0.0,313,0.3102224349975586,0.03840841315686703,0.27181402444839475,0.0,5
5,2026-05-19T20:38:50+00:00,0.0001,0.10850885829415184,0.008283346136749243,0.10022551221207689,0.0,313,0.3158856362104416,0.040987652540206906,0.27489798069000243,0.0,5
6,2026-05-19T20:39:52+00:00,0.0001,0.15155589743591727,0.00859374477425382,0.09538538996784832,0.09515352561450995,313,0.4568066537380219,0.04384880736470222,0.27539916038513185,0.2751173973083496,5
7,2026-05-19T20:40:55+00:00,0.0001,0.1450323574244976,0.008261067643627738,0.09123906902611827,0.0910644424609102,313,0.4575280904769897,0.04356479048728943,0.2760648250579834,0.27579693794250487,5
8,2026-05-19T20:41:58+00:00,0.0001,0.1352206143065573,0.007942751679865542,0.08489776343202439,0.0847601987683354,313,0.46327330470085143,0.047044746577739716,0.2775761842727661,0.27730474472045896,5
9,2026-05-19T20:43:01+00:00,0.0001,0.12965327168639285,0.007625813174549454,0.08139213624472816,0.08127064445909982,313,0.464844161272049,0.04834147095680237,0.2777671217918396,0.27747116088867185,5
10,2026-05-19T20:44:04+00:00,0.0001,0.12803222111667306,0.0074109772273068565,0.08044428928210713,0.08035390902631961,313,0.46318877935409547,0.049090593680739404,0.2761680603027344,0.27586026191711427,5
11,2026-05-19T20:45:07+00:00,0.0001,0.12343221984375209,0.007137324633028436,0.07755942828358171,0.07747093385781724,313,0.46391102075576784,0.04889556206762791,0.2767730712890625,0.2764847993850708,5
12,2026-05-19T20:46:10+00:00,0.0001,0.11707905806101168,0.006635673369426792,0.07365080876091418,0.07358515167388673,313,0.4669903814792633,0.05080136582255364,0.27755290269851685,0.27727222442626953,5
13,2026-05-19T20:47:13+00:00,0.0001,0.10907090433275167,0.006262775054372573,0.06856154938475392,0.06849315981514538,313,0.46749877333641054,0.05156200751662254,0.2773939728736877,0.27708561420440675,5
14,2026-05-19T20:48:15+00:00,0.0001,0.09851307772433225,0.005651278180827479,0.061931963355396503,0.06185967206193235,313,0.471273398399353,0.05812211483716965,0.2754671096801758,0.27536835670471194,5
15,2026-05-19T20:49:18+00:00,0.0001,0.09256434397766003,0.005363021568002249,0.05815024916737224,0.05810214726688763,313,0.47098763585090636,0.05452616848051548,0.27773394584655764,0.27745503187179565,5
