epoch,timestamp_utc,learning_rate,train_total,train_bce,train_dice,train_cldice,train_n_batches,val_total,val_bce,val_dice,val_cldice,val_n_batches
1,2026-05-19T18:37:40+00:00,0.001,0.8275471854324158,0.08976421787585027,0.73778296849979,0.0,313,0.3859140455722809,0.03427880257368088,0.3516352415084839,0.0,5
2,2026-05-19T18:38:39+00:00,0.000996057350657239,0.3472041358677343,0.015245334077150391,0.3319588019825018,0.0,313,0.3492331296205521,0.03240527305752039,0.31682785749435427,0.0,5
3,2026-05-19T18:39:39+00:00,0.0009842915805643156,0.3165884254077753,0.015036636142256542,0.30155178895011875,0.0,313,0.33238797187805175,0.032379498891532424,0.30000847578048706,0.0,5
4,2026-05-19T18:40:40+00:00,0.0009648882429441258,0.2981922496050691,0.014860653809417552,0.2833315956706818,0.0,313,0.32482865154743196,0.03201681766659022,0.29281183481216433,0.0,5
5,2026-05-19T18:41:40+00:00,0.0009381533400219318,0.2811703652429124,0.014708290562426415,0.2664620752532642,0.0,313,0.3113061010837555,0.031371675059199335,0.2799344301223755,0.0,5
6,2026-05-19T18:42:43+00:00,0.0009045084971874737,0.4159272766817873,0.01505803352388473,0.267531735447649,0.2666750142749506,313,0.4384516358375549,0.0330413905903697,0.27040667533874513,0.27000712156295775,5
7,2026-05-19T18:43:46+00:00,0.0008644843137107057,0.4022663032380156,0.015007786336726845,0.25839277006947575,0.25773149500258813,313,0.41934028565883635,0.030691506899893285,0.25918093919754026,0.25893566608428953,5
8,2026-05-19T18:44:49+00:00,0.0008187119948743448,0.382543556273174,0.014257456907948936,0.24573995168216692,0.24509229503881436,313,0.4221362054347992,0.03264340311288834,0.2597206711769104,0.25954426527023317,5
9,2026-05-19T18:45:52+00:00,0.0007679133974894982,0.3847107638756688,0.014512968813470854,0.24696682017451277,0.2464619492189572,313,0.4111316502094269,0.03048015311360359,0.25384476184844973,0.25361343622207644,5
10,2026-05-19T18:46:55+00:00,0.0007128896457825362,0.3708880278058707,0.014185268000458566,0.23799198465987134,0.23742154935678353,313,0.39010981321334837,0.02779230698943138,0.24162265062332153,0.24138970375061036,5
11,2026-05-19T18:47:58+00:00,0.0006545084971874736,0.3644377903911633,0.013978069169095721,0.23383287366586752,0.23325369685602645,313,0.410530823469162,0.030574223771691323,0.25334733724594116,0.2532185196876526,5
12,2026-05-19T18:49:01+00:00,0.0005936906572928624,0.36134607913775946,0.013675148036485663,0.23194747553846706,0.2314469107804588,313,0.4073158472776413,0.030288943834602833,0.2514241337776184,0.25120551586151124,5
13,2026-05-19T18:50:04+00:00,0.0005313952597646568,0.35537223822583025,0.013618871066778802,0.22797774621092093,0.2275512407001215,313,0.3978941231966019,0.028734820894896984,0.24622137546539308,0.24587587118148804,5
14,2026-05-19T18:51:06+00:00,0.00046860474023534336,0.3517433873380716,0.013502986450045825,0.22563508276741345,0.22521063675895667,313,0.41784307956695554,0.031574114598333834,0.2575909852981567,0.25735596418380735,5
15,2026-05-19T18:52:09+00:00,0.0004063093427071377,0.35518594305164897,0.013567370609543956,0.22789786589412261,0.22744141104884041,313,0.3937764704227448,0.028999139182269575,0.2432764172554016,0.24300183057785035,5
16,2026-05-19T18:53:12+00:00,0.00034549150281252644,0.3430312757674878,0.013164401720887937,0.2200539761457961,0.21962579599203774,313,0.40245020389556885,0.03002329245209694,0.24841725826263428,0.24801933765411377,5
17,2026-05-19T18:54:15+00:00,0.00028711035421746366,0.33161977338143434,0.012948571801030883,0.212591805206701,0.2121587934585425,313,0.379584413766861,0.027771946042776108,0.2346223473548889,0.23438020944595336,5
18,2026-05-19T18:55:17+00:00,0.00023208660251050156,0.33048647961106165,0.012686034114049456,0.2119912828881139,0.2116183242477929,313,0.38366384506225587,0.027984959445893763,0.23720141649246215,0.23695493936538697,5
19,2026-05-19T18:56:20+00:00,0.00018128800512565513,0.32858214170311967,0.012767979858097986,0.21067108132968695,0.21028616177007414,313,0.3810004562139511,0.027326060459017754,0.2358633041381836,0.23562219142913818,5
20,2026-05-19T18:57:23+00:00,0.00013551568628929433,0.3274067352278926,0.012925413310730133,0.20977759170836915,0.2094074611465771,313,0.3813465505838394,0.02766055762767792,0.235881507396698,0.235608971118927,5
21,2026-05-19T18:58:26+00:00,9.549150281252634e-05,0.31992665221230293,0.012501952513612021,0.2050930082607574,0.2046633823611104,313,0.3883616477251053,0.029311868362128735,0.23947240114212037,0.23915476799011232,5
22,2026-05-19T18:59:29+00:00,6.184665997806823e-05,0.3167417318390581,0.012683664106380063,0.20284339737968324,0.20242934086071418,313,0.3894550383090973,0.02880780790001154,0.24051253795623778,0.24026941061019896,5
23,2026-05-19T19:00:32+00:00,3.511175705587433e-05,0.31711507571962316,0.01266825357868601,0.2030998498867876,0.20269394320801806,313,0.3879357069730759,0.029001276940107346,0.23937435150146485,0.23912014961242675,5
24,2026-05-19T19:01:35+00:00,1.570841943568452e-05,0.31385333683734506,0.012447608977008742,0.20104764578060602,0.20071616378455118,313,0.3880219697952271,0.02890684735029936,0.23948991298675537,0.23925042152404785,5
25,2026-05-19T19:02:38+00:00,3.942649342761118e-06,0.314085299524065,0.01241059330241463,0.2012203815646065,0.200908649082001,313,0.3874778777360916,0.028728923946619033,0.23924864530563356,0.23900059461593628,5
