epoch,timestamp_utc,learning_rate,train_total,train_classification,train_heatmap,train_n_batches,val_total,val_classification,val_heatmap,val_n_batches
1,2026-05-12T18:33:25+00:00,0.001,0.6010864062812,0.1007953870553559,0.5002910187259649,313,0.58848557472229,0.09184695459902287,0.49663861870765685,25
2,2026-05-12T18:58:23+00:00,0.0009990133642141358,0.3336372908216696,0.06540246726796269,0.2682348243154276,313,0.5840616714954376,0.10681609973311425,0.47724557280540464,25
3,2026-05-12T19:22:50+00:00,0.000996057350657239,0.22110926183743979,0.054396851416736745,0.1667124107480049,313,0.6103040426969528,0.08642039455473423,0.5238836464285851,25
4,2026-05-12T19:46:58+00:00,0.0009911436253643444,0.1686183387955157,0.04626542816575343,0.12235291057025281,313,0.7028415232896805,0.11672146493569016,0.5861200559139251,25
5,2026-05-12T20:11:13+00:00,0.0009842915805643156,0.13763969274945914,0.04140518421527391,0.09623450818010412,313,0.6872775828838349,0.11059648089110852,0.5766811099648476,25
6,2026-05-12T20:34:06+00:00,0.0009755282581475769,0.12098476074088496,0.03935191533662165,0.08163284529417086,313,0.7482851529121399,0.1232404650375247,0.6250446939468384,25
