epoch,timestamp_utc,learning_rate,train_total,train_bce,train_dice,train_cldice,train_n_batches,val_total,val_bce,val_dice,val_cldice,val_n_batches
1,2026-05-16T02:27:50+00:00,0.001,0.7996218844343679,0.07786385247263665,0.7217580335208783,0.0,313,0.40000837445259096,0.03180847093462944,0.36819990873336794,0.0,5
2,2026-05-16T02:29:54+00:00,0.000996057350657239,0.3604874124351782,0.01567429907102221,0.34481311301453804,0.0,313,0.3700569987297058,0.03473675232380628,0.335320246219635,0.0,5
3,2026-05-16T02:31:58+00:00,0.0009842915805643156,0.3174645433696314,0.015281950196507164,0.30218259366556477,0.0,313,0.3990744948387146,0.03432833328843117,0.36474616527557374,0.0,5
4,2026-05-16T02:34:01+00:00,0.0009648882429441258,0.30375757180273344,0.014929556740096774,0.2888280145657329,0.0,313,0.3345845639705658,0.03454998191446066,0.3000345826148987,0.0,5
5,2026-05-16T02:36:05+00:00,0.0009381533400219318,0.2921421465020591,0.014731734604262315,0.27741041198706096,0.0,313,0.31316515803337097,0.033978659100830554,0.27918649911880494,0.0,5
6,2026-05-16T02:38:15+00:00,0.0009045084971874737,0.42127899982677863,0.015272115654767321,0.2709619380033816,0.2700898910101991,313,0.4562489837408066,0.03508627824485302,0.28087965250015257,0.2805661201477051,5
7,2026-05-16T02:40:24+00:00,0.0008644843137107057,0.414876514635147,0.015175824528173232,0.2667024613569339,0.2659964576696816,313,0.4519563615322113,0.033958544954657555,0.27878044843673705,0.27843475341796875,5
8,2026-05-16T02:42:33+00:00,0.0008187119948743448,0.3909732185232754,0.01478092390567826,0.2510159585041741,0.2503526707807669,313,0.4379051893949509,0.0314701072871685,0.27103754281997683,0.27079508304595945,5
9,2026-05-16T02:44:42+00:00,0.0007679133974894982,0.3986376509213219,0.014698516224888852,0.25614953440980026,0.2555792015581466,313,0.44014081358909607,0.03377143666148186,0.2709947109222412,0.2707493305206299,5
10,2026-05-16T02:46:52+00:00,0.0007128896457825362,0.38387375779616567,0.014473337381066511,0.24645696851773002,0.2458869034109024,313,0.44262886941432955,0.03295158371329308,0.2731716513633728,0.2730112671852112,5
11,2026-05-16T02:49:01+00:00,0.0006545084971874736,0.37021081758954655,0.014276684712642393,0.23750240981769258,0.23686344612139865,313,0.4104227602481842,0.0287729000672698,0.2545053124427795,0.25428909063339233,5
12,2026-05-16T02:51:10+00:00,0.0005936906572928624,0.37352042242932243,0.013904887137000268,0.239935246138527,0.23936057890566012,313,0.42300828695297243,0.03227115720510483,0.2605657935142517,0.2603426814079285,5
13,2026-05-16T02:53:19+00:00,0.0005313952597646568,0.36449586416776186,0.01386259887784053,0.23390348517475798,0.2334595594924098,313,0.42674866914749143,0.03228840958327055,0.26306241750717163,0.26279568672180176,5
14,2026-05-16T02:55:28+00:00,0.00046860474023534336,0.36199538762005756,0.013665483024465247,0.2323890844473062,0.23188164116094667,313,0.40564097464084625,0.02982607837766409,0.2506156086921692,0.250398588180542,5
15,2026-05-16T02:57:38+00:00,0.0004063093427071377,0.35818018004917107,0.01380037209733178,0.22977295622658045,0.22921370088863677,313,0.42230603098869324,0.03360631167888641,0.2592050313949585,0.2589893817901611,5
16,2026-05-16T02:59:47+00:00,0.00034549150281252644,0.3426666542554435,0.012952467655768981,0.2199594982135029,0.2195093765045507,313,0.41291309595108033,0.030864452198147773,0.25479377508163453,0.25450974702835083,5
17,2026-05-16T03:01:56+00:00,0.00028711035421746366,0.3506317536670941,0.013441631859079145,0.22496693964583425,0.22444636353288597,313,0.4142605632543564,0.030901107005774975,0.25567896366119386,0.2553609848022461,5
18,2026-05-16T03:04:05+00:00,0.00023208660251050156,0.3392401704201683,0.013031554674676146,0.21761091753316764,0.21719539698701315,313,0.4102060079574585,0.03101511616259813,0.2528796434402466,0.25262250900268557,5
19,2026-05-16T03:06:14+00:00,0.00018128800512565513,0.3332669118913218,0.012805262837892238,0.2137939023514525,0.21333549254999373,313,0.41333554685115814,0.032128236070275304,0.2542397975921631,0.2539350390434265,5
20,2026-05-16T03:08:24+00:00,0.00013551568628929433,0.32742366299461634,0.012531030509537591,0.21008900769602376,0.20960724944123826,313,0.40587264895439146,0.03131405208259821,0.24980844259262086,0.24950029850006103,5
21,2026-05-16T03:10:33+00:00,9.549150281252634e-05,0.32470649795029494,0.012614550798708877,0.2082246859995321,0.20773452272811255,313,0.4120539426803589,0.03194404598325491,0.2535114049911499,0.25319695472717285,5
22,2026-05-16T03:12:42+00:00,6.184665997806823e-05,0.3242249159862439,0.012521859798461389,0.20794108252936658,0.20752394618317724,313,0.40528852939605714,0.030999543517827986,0.2496181845664978,0.24934163093566894,5
23,2026-05-16T03:14:51+00:00,3.511175705587433e-05,0.32883959999099704,0.012749326311218471,0.2108535656152061,0.21047341499846584,313,0.40829130113124845,0.031118850223720074,0.25156034231185914,0.2512242078781128,5
24,2026-05-16T03:17:00+00:00,1.570841943568452e-05,0.31820342068474133,0.01242997289855426,0.20399337035779375,0.20356015599192903,313,0.40640402138233184,0.031099981255829336,0.25030428171157837,0.2499995231628418,5
25,2026-05-16T03:19:10+00:00,3.942649342761118e-06,0.32034797695117256,0.012223755745901562,0.20554313853906747,0.2051621652639712,313,0.40645248591899874,0.030916075594723223,0.25045725107192995,0.2501583218574524,5
